emp_no,first_name,second_name,department,wage,project_completion_rate
51,Kevin,Leonard,IT,9589.46,47.85168
52,Christina,Robles,Sales,90635.59,47.14427
53,John,Armstrong,Sales,82137.03,44.26418
54,Angela,Jones,Research,59666.53,48.75381
55,Michael,Adams,Testing,76704.42,44.02944
56,Megan,Stanley,IT,55786.8,60.73085
57,Phillip,Barnes,Testing,31821.99,53.59875
58,Kimberly,Casey,Sales,49395.65,36.65319
59,Mallory,Jones,Research,13969.06,25.31485
60,Suzanne,Bradshaw,Research,29336.78,51.40353
61,Abigail,Williams,HR,22132.43,54.46965
62,Tiffany,Pierce,HR,82379.05,61.72095
63,Brian,Roberts,Testing,32813.37,53.24328
64,Carol,Garcia,IT,54713.67,39.02996
65,Eric,Coleman,HR,34993.32,41.85399
66,Christina,Brown,IT,11155.14,60.42200
67,Heather,Watkins,Testing,82855.03,50.77418
68,Valerie,Kelly,Sales,8551.08,47.22701
69,Bradley,Thompson,IT,56080.09,47.47665
70,Beverly,Pierce,Sales,14710.65,53.93467
71,Glenn,Jackson,HR,66534.17,43.88589
72,Lisa,Martin,HR,10937.48,43.53225
73,Jacob,Yu,Testing,73416.19,67.12774
74,Donna,Berger,Sales,61681.1,56.88220
75,Christopher,Young,HR,1956.72,46.40480
76,Brittney,Cox,HR,80629.29,44.41131
77,Robert,Jackson,Research,7881.87,63.40571
78,Chad,Heath,Research,84196.9,31.70575
79,Lisa,Smith,Sales,21561.18,49.89013
80,Samantha,Mcconnell,HR,2979.32,42.06326
81,Joseph,Owen,Research,48904.81,62.75287
82,Joshua,Hendricks,Research,20027.89,46.54650
83,Scott,Cruz,Testing,15124.79,44.66168
84,Joel,Henderson,Testing,43427.52,40.27104
85,Chris,Fisher,IT,51241.79,70.40754
86,Alan,Smith,Sales,12104.7,51.93321
87,David,Watkins,Research,39937.32,45.72735
88,Matthew,Gomez,Research,82538.68,64.06150
89,Jean,Cummings,IT,70154.56,36.03517
90,Sally,Becker,Research,35337.02,60.22714
91,Thomas,Sanchez,HR,47671.55,48.13571
92,Mr.,Mark,Sales,4954.14,30.00424
93,Penny,Atkinson,Testing,21218.1,57.50403
94,Tina,Green,IT,98682.36,47.79213
95,Stephanie,Smith,Testing,14143.16,58.05847
96,Steven,Hill,Testing,44596.03,34.68527
97,Aaron,Knapp,IT,7173.91,42.56960
98,Sean,Brown,Testing,63227.56,42.29790
99,Patricia,Andrade,Research,56325.19,53.39200
100,Keith,Douglas,Research,91043.08,56.06517
101,Eric,Morris,HR,92032.14,57.38836
102,Derek,Wilson,Sales,891.88,47.04203
103,Connie,Yang,Sales,76690.3,35.96558
104,Leah,Reed,Testing,27471.47,52.53488
105,Sean,Vargas,IT,45820.53,53.35642
106,Tyler,Jacobson,HR,40238.5,52.37422
107,Andrew,Mcclain,Research,25797.12,41.67230
108,Matthew,Allen,Research,58480.28,40.36209
109,Jasmine,West,Sales,25193.23,56.81596
110,Richard,Morrison,Sales,92979.61,50.89069
111,Michelle,Williams,Sales,28446.83,38.58492
112,Steven,Hensley,Testing,67864.96,59.20714
113,Courtney,Daniels,IT,2433.03,54.28299
114,Jeremy,Johnson,HR,37363.98,52.07484
115,Carmen,Ortiz,HR,75368.03,63.18399
116,Karen,Turner,IT,39425.41,77.46182
117,Joshua,Smith,Research,95857.99,66.18164
118,Jessica,Kelly,Research,55413.47,40.95520
119,Kimberly,Martin,Research,48929.66,67.72312
120,Debra,Reynolds,Research,3408.72,21.56528
121,Jaime,Murray,HR,85455.04,53.77331
122,Philip,Duffy,Sales,78968.03,42.56355
123,Dawn,Flynn,HR,57637.67,39.12498
124,Evan,Scott,HR,44526.26,45.97210
125,Madison,Sullivan,Research,95383.74,66.00716
126,Melissa,Rodriguez,HR,19239.26,50.59402
127,Francis,Jones,IT,48677.01,49.61727
128,Deborah,Wilkinson,Sales,79897.71,37.19978
129,James,Sims,Sales,79574.15,35.73396
130,Paige,Smith,Research,34140.51,49.56059
131,Gary,Serrano,Research,49724.4,69.34221
132,Mike,Roberts,Sales,52566.77,26.43123
133,Stephanie,Bryant,Research,45121.72,50.81235
134,Sara,Cunningham,HR,37389.89,48.23382
135,John,Camacho,Testing,6049.53,53.63875
136,Derek,Hurst,HR,52630.91,49.08530
137,Donna,Weiss,IT,24395.07,47.03647
138,Breanna,Joyce,Sales,14020.7,50.44505
139,Barbara,Brown,IT,98526.82,47.06803
140,Shawn,Farmer,Testing,75529.61,56.29167
141,Tina,Jimenez,HR,44552.24,58.89885
142,Jessica,Long,HR,36842.98,60.88007
143,Anthony,Kelly,Sales,90946.37,48.48895
144,Nicholas,Cook,IT,39922.52,41.01254
145,Abigail,Ochoa,IT,86956.36,41.46391
146,Joshua,Best,Sales,75780.43,42.17017
147,William,Sanders,IT,61242.32,55.26069
148,Kimberly,Fischer,Testing,74626.17,45.87212
149,Tyler,Gibson,Research,1835.41,67.42340
150,Jason,Guzman,IT,51054.11,61.98863
151,Melissa,Gonzales,Testing,45318.45,52.64708
152,Stephanie,Gay,HR,1181.41,57.12414
153,Ian,King,Testing,25105.46,44.50976
154,Elizabeth,Ruiz,Testing,5097.52,49.42133
155,Crystal,Miller,HR,58868.65,56.65728
156,Beverly,Smith,HR,11952.93,52.99574
157,Christina,Salinas,HR,83045.38,49.51121
158,Raymond,Donaldson,Testing,73012.04,43.77240
159,Cheryl,Brooks,HR,71288.52,34.33601
160,Tammy,Paul,Research,85403.21,57.32583
161,Michael,Cantrell,Testing,7637.6,66.00447
162,Ian,Bernard,HR,18402.06,35.74594
163,Michael,Sullivan,Sales,77304.44,35.26119
164,Tara,Trevino,IT,33022.79,43.87977
165,Heather,Howard,Sales,37715.09,47.80688
166,Laura,Harvey,Sales,73191.98,51.31069
167,Jared,Harper,Research,95087.63,72.34519
168,Tara,Fleming,Testing,44481.03,54.81264
169,Emily,Salas,HR,57041.36,68.82609
170,Donald,Torres,Sales,37755.71,31.69099
171,Chelsea,Payne,Sales,9310.76,15.71681
172,Chelsea,Russell,IT,30492.66,53.38433
173,Michael,Cobb,Testing,63327.22,42.58439
174,Maureen,Moreno,Research,68667.14,52.30125
175,Timothy,Wood,IT,74963.54,60.02488
176,Timothy,Lawson,HR,11161.89,41.15122
177,Desiree,Williams,HR,77315.42,54.88434
178,Jill,Simon,Sales,32056.77,48.26700
179,Amy,Irwin,Sales,43688.57,63.55686
180,Benjamin,Johnson,Sales,82554.86,62.47045
181,Theresa,Jackson,Sales,35668.69,47.19109
182,Nicholas,Pham,HR,25095.7,37.76665
183,Christopher,Herrera,IT,15653.73,44.01567
184,Amy,Carter,Sales,61344.77,52.49291
185,Jonathan,Taylor,IT,90902.73,30.77250
186,Ronnie,Medina,Sales,83580.31,41.93399
187,Mark,Baker,Research,20274.75,46.06682
188,Susan,Kennedy,Sales,40565.3,59.12495
189,Mary,Freeman,HR,22041.22,63.79948
190,Randy,Tucker,Testing,74638.09,33.06014
191,John,Landry,HR,67053.85,41.04592
192,David,Perez,Research,57064.79,48.99472
193,Lisa,Adams,IT,53.87,47.98852
194,Leonard,Woodard,Research,87517.16,62.72181
195,Shane,Crawford,Testing,79283.4,61.84613
196,Jennifer,Daniels,Research,98074,37.30621
197,Heather,Fletcher,Sales,70637.59,53.07384
198,Jerome,Perry,Research,78337.2,49.19186
199,Shelby,Reeves,Testing,60181.25,36.11152
200,Danny,Camacho,Research,68600.46,47.16264
201,Michael,Ryan,Testing,75389.82,65.18590
202,Michael,Ward,Research,41277.3,37.74992
203,Martin,Mullen,Research,66817.47,35.45114
204,Riley,Woodard,HR,28288.35,43.24583
205,Melinda,Hendricks,Research,95577.63,38.51302
206,Sara,Tran,HR,61456.72,18.07020
207,Tara,Spencer,IT,53566.83,62.55773
208,Eric,Morales,Research,94731.56,47.59826
209,Olivia,Gilmore,Research,45635.69,42.26123
210,Laura,Hall,Testing,51724.11,61.28859
211,Christopher,Zimmerman,Sales,47321.04,55.23462
212,Joseph,Miller,Research,85862.1,50.73719
213,Dr.,Terri,HR,89485.9,52.49254
214,Rebecca,Davenport,Research,71419.35,67.15271
215,Joy,Davis,IT,70675.48,37.96675
216,Sean,Fisher,Testing,98858.44,57.25945
217,Anthony,Davis,HR,89024.33,36.12436
218,Tara,James,HR,4744.59,35.54891
219,John,Hebert,IT,4949.95,50.61974
220,Susan,Harris,HR,39428.93,31.38042
221,Jacqueline,Harris,HR,77400.6,45.31583
222,Eric,Scott,Sales,35222.97,58.90815
223,Brendan,Price,Testing,96502.55,57.62778
224,Amy,Garza,IT,28187.47,54.02670
225,Julie,Lambert,HR,87062.36,42.78709
226,David,Wilson,Research,50602.1,48.32587
227,Paul,Wilson,Sales,50612.08,45.97600
228,Daniel,Short,Research,88513.2,63.78929
229,Whitney,Jones,Testing,36434.61,57.41775
230,Anthony,Santos,IT,17294.32,55.60629
231,Debra,Rush,Testing,84251.52,56.32919
232,Julie,Hopkins,HR,59658.32,53.07219
233,Ryan,Brown,Sales,74248.92,47.82435
234,Erin,Cooper,Sales,9618.18,47.14824
235,Wesley,Carr,Sales,69199.44,49.65926
236,Abigail,Campbell,HR,39457.4,66.65099
237,Michael,Medina,Research,24317.86,44.71389
238,Allison,Miller,HR,36437.18,38.06708
239,Sherry,Hill,Research,92533.6,66.37967
240,Melinda,Black,IT,9046.72,52.82132
241,Joanna,Mason,HR,71910.16,36.90185
242,Samantha,Evans,Testing,60275.16,42.64430
243,Taylor,Lyons,HR,78001.16,37.05421
244,Christine,Diaz,IT,55523.31,53.94158
245,Kimberly,Rowe,Research,787.21,35.32362
246,Steven,White,Research,69330.21,52.06307
247,Steven,Myers,IT,61246.41,55.82015
248,Roberto,Hess,HR,91441.6,73.41804
249,Tony,Woodard,IT,46990.17,27.68134
250,Debra,Frazier,HR,42418.51,54.57330
251,Rebecca,Miller,IT,45215.08,41.12280
252,Lisa,Young,Research,37109.98,25.32020
253,Eric,Perry,Testing,18765.03,50.79823
254,Kimberly,Perez,HR,29829.86,65.74746
255,Robert,Mcdonald,IT,79926.32,67.00264
256,Lisa,Gomez,IT,63617.65,54.85039
257,Jason,Santana,Testing,6713.02,55.96086
258,Stephanie,Gonzalez,Sales,78773.64,40.21903
259,Angela,Thornton,Research,89534.77,49.22526
260,David,Williams,Sales,44924.4,29.34066
261,Natalie,Ward,Sales,82895.49,43.78778
262,Ashley,Myers,Testing,14821.89,55.06177
263,Margaret,Leonard,Research,55348.2,49.85408
264,Daniel,Collins,Testing,71198.18,57.44083
265,Haley,Roberts,Testing,64018.44,35.15521
266,Brian,Kennedy,HR,97163.84,40.96810
267,James,Lawrence,HR,49196.69,59.98153
268,Chad,Douglas,IT,456.9,44.32571
269,Glenn,Stephens,Research,56554.64,43.22271
270,Maria,Stevens,Testing,19092.79,38.96721
271,Paul,Wall,Research,27099.22,47.24689
272,Angela,Richardson,Testing,76402.97,70.50936
273,John,Sparks,HR,40633.92,45.47368
274,Jennifer,Harris,IT,69724.86,43.66901
275,Michael,Lane,Testing,80139.68,63.35660
276,Wendy,Bush,Research,14058.19,38.71980
277,Lawrence,Wong,Sales,48163.78,46.10879
278,David,Parker,Research,62382.79,59.31181
279,Jerry,Smith,Sales,34286.97,73.34001
280,Donald,Bell,Sales,23236.12,38.00484
281,Lindsay,Martinez,HR,1510.29,54.32492
282,Peter,Miller,IT,36115.76,49.46520
283,Tyler,Wilson,HR,74909.99,73.18897
284,Chris,Hughes,Testing,92278.62,37.79622
285,Andrew,Taylor,Sales,33656.85,50.12531
286,Amanda,Mora,Research,66875.71,60.32814
287,Christopher,Martinez,IT,71330.9,60.67583
288,Susan,Watson,Sales,39778.39,58.67615
289,Kimberly,Gonzalez,HR,84006.11,71.68445
290,Ashley,Gray,HR,29998.13,48.36743
291,Jorge,Wilson,Research,40282.37,61.35541
292,Vernon,Steele,IT,33783.72,58.11404
293,Brandy,Davis,Research,29331.87,55.20775
294,Patricia,Combs,HR,21682.51,51.93716
295,Melissa,Shelton,Testing,30665.85,32.53277
296,Sandra,Morgan,Sales,67836.7,43.61160
297,William,Hill,IT,90412.71,44.51955
298,Melissa,Ruiz,Testing,24730.01,57.67315
299,Rick,Valdez,Research,43579.83,49.79598
300,Frank,Lopez,IT,39712.27,55.44742
301,Ryan,Phillips,Research,81592.21,57.53943
302,Larry,Morris,Testing,69017.97,55.27119
303,Charles,Greer,Research,65168.09,41.30841
304,Luke,Wilson,Testing,19561.93,59.96095
305,Jason,Flores,IT,37110.06,48.02291
306,Vincent,Molina,Testing,25925.6,52.76176
307,Chad,Harris,Testing,33041.94,41.15161
308,Emily,Anderson,IT,32729.55,41.23934
309,Haley,Scott,Sales,9498.36,52.77901
310,Jennifer,Cooper,HR,50916,55.94552
311,Jerry,Mathews,HR,46866.97,44.75316
312,Jason,Richards,Sales,44283,56.23471
313,Tonya,Wilson,Research,93668.64,55.10102
314,Kelly,Cooper,HR,18103.36,47.62167
315,Dillon,Thomas,IT,3230.35,49.61723
316,Shannon,Garner,IT,23461.99,40.01746
317,Christine,Rodriguez,HR,51471.47,39.16979
318,Tiffany,Frost,Research,38520.51,51.77957
319,James,Stark,HR,78652.01,58.65188
320,Nicole,Rubio,Testing,17173.93,49.73338
321,Christine,Escobar,Testing,90944.15,47.19215
322,Lisa,Bishop,Research,80118.37,47.49067
323,Justin,Weaver,Testing,82893.09,50.39079
324,Jay,Parks,HR,92392.09,60.72907
325,Beverly,Stein,Sales,35173.7,59.92517
326,Michelle,Wright,HR,93471.18,36.59483
327,Nicholas,Clark,Sales,69927.99,49.59784
328,Robert,Brown,IT,39549.54,39.06477
329,Chelsea,Moore,Testing,76321.56,44.59649
330,Jennifer,Mora,HR,95376.47,46.61315
331,Susan,Fox,Sales,7766.55,42.16161
332,Veronica,Patel,HR,54674.76,54.11993
333,Amanda,Miller,IT,36211.3,41.16417
334,Daniel,Chavez,Sales,78357.96,57.31184
335,Joseph,Diaz,Testing,29406.17,34.77618
336,John,Mejia,IT,22779.78,41.56148
337,Jacob,Williams,Research,76368.18,43.68050
338,Derek,Sandoval,IT,16745.32,45.78182
339,Jill,Rodriguez,Sales,97597.56,58.87183
340,Hayley,Alexander,Sales,55365,49.31334
341,Chad,Huerta,Research,69767.5,48.50529
342,Stephanie,Waters,Testing,91077.22,69.97802
343,Andrea,Lawson,Testing,348.07,45.24224
344,Robert,Huff,Research,76941.28,49.29095
345,Patrick,Cobb,IT,40330.23,78.79055
346,Lauren,Grant,HR,3415.86,48.36295
347,Ashley,Alexander,Testing,85591.44,49.74584
348,Robert,Brown,HR,38145.38,48.47892
349,Derek,Clark,Research,48039.99,65.10278
350,Jason,Smith,Sales,90846.1,61.58537
351,Hannah,Paul,HR,34602.63,48.09153
352,Edwin,Hurley,IT,62150.6,38.69201
353,Linda,Hayes,Research,83761.34,49.40988
354,Jordan,Gill,HR,83189.66,50.25561
355,Logan,Wolf,Sales,44356.11,68.61446
356,Ashley,Johnson,Research,51453.16,65.90528
357,Stacie,Cohen,IT,42118.46,50.80406
358,Cory,Jones,IT,37838.48,46.77859
359,Derek,Meyers,Testing,7473.37,53.98115
360,Ronald,Mckee,Testing,49249.13,36.98990
361,Michelle,Mcbride,Testing,36502.78,30.46253
362,Robert,Boyd,Sales,15688.83,55.15005
363,Angela,Barnett,Testing,47500.84,58.78828
364,Christian,Bright,Testing,62705.34,60.67328
365,Jessica,Peterson,Sales,45563.46,51.86559
366,Matthew,Perry,Testing,99855.34,46.54793
367,Bryan,Moore,HR,78479.58,49.57587
368,Susan,Smith,HR,89426.6,63.72685
369,Brianna,Dorsey,HR,55941.89,32.71351
370,Larry,Allen,IT,24803.09,47.42589
371,Laura,Ross,HR,84593.55,35.64749
372,Richard,Aguirre,Research,66714.82,54.12952
373,Veronica,Randolph,Research,50945.53,65.32034
374,Linda,Heath,Sales,68925.16,52.98937
375,Christopher,Edwards,HR,5730.62,51.30065
376,Eric,Guerra,Research,34188.83,73.04687
377,Jamie,Martin,HR,85533,52.70969
378,Joshua,Wilson,Testing,12635.32,49.87222
379,Whitney,Martinez,Sales,87271.59,33.24190
380,Timothy,Robertson,HR,91366.47,55.54054
381,James,Smith,Sales,54449.55,32.58536
382,Dana,Smith,IT,76444.76,30.08219
383,David,Morris,HR,23125.64,61.20663
384,Melissa,Becker,Research,28678.05,49.12496
385,Eric,Burch,Testing,68350.55,57.41679
386,Gerald,Guerrero,Testing,89570.62,41.52394
387,Danny,Wolf,Sales,60751.87,57.19593
388,Christopher,Harmon,IT,72901.13,28.00918
389,Joshua,Young,Sales,17165.11,60.77771
390,Kelly,Smith,Research,44058.49,42.73026
391,Lisa,Hurley,Testing,80531.45,38.72380
392,Karen,Davis,Sales,86962.75,39.25412
393,Joshua,Wise,Testing,98193.36,47.16971
394,Ronald,Gonzalez,Research,62002.95,68.58075
395,Donald,Mendoza,Testing,54443.91,52.19524
396,Mitchell,Lopez,Research,6342.52,48.19551
397,Stephanie,Donovan,IT,89912.45,28.76527
398,Lisa,Marsh,Research,29271.17,51.61454
399,David,Wilkinson,Testing,85634.11,56.64134
400,Tiffany,Bryant,Testing,21407.76,62.53966
401,Christopher,Case,Sales,64726.08,46.67492
402,Sherry,Graham,Testing,42238.5,54.70273
403,Carly,Frye,IT,89270.42,45.45418
404,Mathew,James,Sales,36112.81,49.51228
405,Steven,Lynch,Research,35363.39,41.46016
406,Victoria,Valdez,Testing,56977.3,42.31482
407,Dwayne,Andrews,HR,3434.2,46.35927
408,Erik,Weaver,IT,93669.88,40.74365
409,Andrew,Meyers,Sales,83896.91,53.48878
410,Adam,Morgan,IT,628.65,55.98440
411,Ryan,Davis,Research,95241.28,57.97711
412,Rachel,Thomas,Testing,74407.34,35.37573
413,Claudia,Warren,Sales,82556.55,50.43636
414,Christopher,Carter,Testing,85315.15,51.91913
415,Kevin,Mosley,IT,35039.42,67.77416
416,Ashley,Hall,HR,62006.39,65.79088
417,Jerome,Green,HR,47725.09,37.75157
418,Kenneth,Parker,IT,63963.52,55.74441
419,Rachel,Herrera,Sales,89633.33,49.68975
420,Alyssa,Ibarra,Sales,55122.27,36.82647
421,Emily,Love,Research,84498.44,39.58604
422,Julie,Moreno,IT,32846.92,46.90212
423,Jose,Chavez,Research,73104.05,52.75249
424,Michael,Chen,HR,23799.58,45.09771
425,Douglas,Martinez,IT,25122.35,41.29684
426,Jacob,Brady,IT,37373.35,59.85014
427,James,Brown,HR,83867.02,66.64923
428,Maureen,Adams,Testing,74082.87,42.95006
429,Denise,Rivera,Research,21181.84,49.29220
430,Janice,Sherman,Testing,94292.99,35.71425
431,Amy,Lee,Sales,46709.08,64.40503
432,Megan,Terry,Sales,86697.79,58.79656
433,Robert,West,Research,55191.94,58.26086
434,Sarah,Ramirez,Research,35187.21,49.22647
435,Amy,Yates,HR,5037.85,57.50899
436,Gail,Martin,Sales,6893.28,47.85801
437,Jennifer,Moore,Sales,1036.4,44.85249
438,Samuel,Becker,Research,71726.2,48.31626
439,Teresa,Meyer,Testing,92460.55,39.30206
440,Mark,Oconnor,Research,11534.52,65.71893
441,Mr.,Michael,Testing,92281.15,40.22367
442,Thomas,Mcguire,IT,17304.28,43.65393
443,Alison,Long,Testing,43594.06,58.91337
444,Terri,Thomas,Testing,20271.65,65.47824
445,Rhonda,Hurley,IT,41847.75,47.48003
446,Crystal,Mathis,IT,6716.99,56.02791
447,Samuel,Santiago,Sales,10243.07,57.24566
448,Christina,Hardy,HR,33805.91,52.78980
449,Susan,Duran,HR,79458.12,46.97542
450,Elizabeth,Rice,Testing,5496.67,52.27571
451,Tara,Lozano,Testing,45109.16,47.58456
452,Benjamin,Perry,IT,51111.13,67.34387
453,Angela,Blair,IT,75479.45,47.30681
454,Nancy,Floyd,Research,20811.53,47.19055
455,Matthew,Norman,Sales,27633.91,55.14514
456,Jason,Bush,Testing,52995.17,48.39098
457,Maria,Chapman,Sales,87178.85,29.10820
458,Cassandra,Castro,Sales,5521.52,66.44732
459,Margaret,Anderson,Sales,56386.31,45.86710
460,Joseph,Thompson,IT,66979.03,52.43764
461,Steven,Brown,Research,89869.76,43.86065
462,Ana,Ware,Sales,25533.28,50.57049
463,Mindy,Wells,HR,55169.04,65.74448
464,Travis,Santiago,Sales,79539.54,57.44418
465,Alexis,Holmes,Testing,50722.89,56.94428
466,Julie,Duke,HR,27410.85,43.99298
467,John,Stevenson,HR,59060.12,54.93287
468,Alice,Fernandez,HR,31111.94,41.42396
469,Melissa,Lawrence,IT,93322.73,47.59055
470,Alexander,Middleton,Sales,75199.89,49.09497
471,Ashley,Andrade,Sales,55954.12,52.62494
472,Lisa,Russell,Research,59428.86,48.22639
473,Denise,Powers,HR,16122.47,58.15226
474,Stephen,Sparks,HR,21661.49,49.97072
475,Joseph,Armstrong,Testing,74736.95,44.87252
476,Michelle,Hernandez,IT,40013.58,51.44576
477,Elizabeth,Garcia,HR,32511.25,46.13580
478,Thomas,Carrillo,Research,50213.13,49.59672
479,Robin,Andrade,HR,27091.14,60.96728
480,Tony,Ward,Sales,86586.81,24.04707
481,Jennifer,Goodman,Sales,57538.7,68.76465
482,Richard,Mason,Testing,76572.71,53.45132
483,Jeanne,Charles,Sales,38680.14,61.70003
484,Bill,Cochran,IT,18052.66,73.08315
485,Jill,Sawyer,HR,37173.31,52.41725
486,Ryan,Kent,Sales,15878.8,44.64017
487,Scott,Wilson,HR,59407.29,66.20544
488,Pamela,Manning,HR,15766.86,49.38688
489,April,Guerrero,IT,96056.32,57.93587
490,Adam,Lewis,Testing,74277.52,68.56115
491,Mark,Fischer,IT,26241.18,58.07676
492,Dennis,Gross,Sales,79105.02,51.82017
493,Tiffany,Williams,IT,83739.71,53.07006
494,Janice,Ali,IT,29664.3,41.25149
495,Gary,Franklin,HR,60923.96,42.59507
496,Jeffery,Fry,Sales,82135.12,47.55623
497,Samantha,Woodward,Testing,67264.96,63.84731
498,Angelica,Sanchez,IT,14767.23,48.25487
499,Sandra,Gonzalez,Testing,7455.71,57.04382
500,Maria,Williams,HR,65720.43,33.50801
501,Brian,Booker,Sales,21396.06,39.45753
502,Dennis,Evans,Testing,86203.25,49.63080
503,Amanda,Garrett,HR,25684.99,41.02448
504,Karen,Watson,HR,10928.93,46.07023
505,Christopher,Haynes,HR,70490.57,47.75195
506,Mr.,Christopher,Testing,16551.66,43.05555
507,Megan,Klein,Sales,84128.88,39.11539
508,Mr.,Tyler,Testing,10025.52,59.84584
509,Kevin,Welch,Sales,99292.81,57.37683
510,Brandon,Mitchell,Sales,47741.21,66.43994
511,Jacob,Johnson,HR,44716.67,56.81672
512,James,Franklin,Research,74626.22,78.39166
513,Tyrone,Nichols,IT,40566.79,51.12125
514,Paul,Barron,Sales,29129.22,54.69856
515,Clayton,Burns,HR,75598.33,48.77884
516,John,White,Testing,46397.12,40.32980
517,Paula,Miller,Sales,88828.61,48.90821
518,Stephen,Brown,Testing,58481.73,54.25834
519,Lawrence,Gardner,IT,50722.41,45.29378
520,Kimberly,Torres,HR,41201.48,65.28525
521,Adam,Gutierrez,HR,39353.75,51.73566
522,Cristina,Gibson,Testing,63277.31,66.69067
523,Natalie,Medina,IT,5528.86,56.75168
524,Jessica,Barnett,IT,27351.21,61.60071
525,Jason,Hickman,Research,96987.29,38.56087
526,Matthew,Ray,Sales,53763.38,72.46791
527,Benjamin,Lawson,HR,11646.81,41.10709
528,Melody,Knapp,HR,93533.05,49.97137
529,Stacey,Gardner,HR,2443.25,47.71947
530,Robert,Harrison,Sales,52149.24,42.97117
531,Matthew,Madden,Research,85240.61,57.37912
532,Dr.,April,Sales,62232.55,51.98814
533,Mary,Phillips,Sales,84753.28,48.57469
534,Kaitlyn,Brown,Research,36651.77,71.65428
535,Craig,Thomas,Testing,83364.96,52.89599
536,April,Smith,Sales,50097.46,49.66105
537,Mike,Hernandez,HR,61289.69,69.44280
538,Alexander,Mitchell,HR,79738.09,61.42759
539,Robin,Russell,HR,39129.31,50.84548
540,Kristin,Cross,Research,46384.66,53.79429
541,Jose,Williams,HR,96140.19,42.25428
542,Jennifer,Gentry,Sales,59252.89,53.02224
543,Andrew,Fernandez,HR,52744.18,55.39221
544,Timothy,Boone,Testing,48594.54,66.01361
545,Michael,Sherman,Testing,3567.69,68.34808
546,Nancy,Torres,Sales,97641.07,61.23318
547,Ricky,Francis,Research,59278.39,59.93302
548,Valerie,Mercer,HR,37449.16,48.02038
549,Shelby,Castaneda,Research,26136.65,42.55789
550,Patricia,Robinson,Research,88209.6,57.92634
551,Lori,Wagner,IT,4133.92,47.79771
552,Andrew,Sweeney,Research,49359.91,39.49178
553,Brian,Hayes,Research,81693.38,60.20251
554,Michelle,Hernandez,Research,42455.65,60.50479
555,Dennis,Garrett,Testing,83803.76,53.51345
556,Amber,Murphy,Testing,46726.24,41.98662
557,Steven,Howard,HR,77293.55,37.84584
558,Dr.,Steven,HR,3909.2,62.52877
559,Victoria,Collins,Research,94901.56,61.77389
560,Rachael,Madden,HR,19203.7,40.48245
561,Carol,Torres,Research,90991.33,65.56066
562,Diane,Sims,Research,11097.65,61.92565
563,Mario,Sandoval,Testing,37851,31.34082
564,Douglas,Clark,Research,30369.34,36.69134
565,Barbara,Howe,Research,46410.93,47.44326
566,Marissa,Wilson,Sales,26231.29,41.62960
